Cmd #22   '+'	Ptr: 2    	Tape: [13]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [14]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [15]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [16]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [17]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [18]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #28   '+'	Ptr: 2    	Tape: [19]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [20]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #30   '>'	Ptr: 3    	Tape:   9  14  20 [3]   1   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:   9  14  20 [4]   1   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:   9  14  20 [5]   1   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:   9  14  20 [6]   1   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:  14  20   6 [1]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:  14  20   6 [2]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:   9  14  20 [6]   2   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [20]   6   2   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [14]  20   6   2	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [9]  14  20   6	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [8]  14  20   6	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [8]  14  20   6	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [8]  14  20   6	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [14]  20   6   2	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [15]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [16]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [17]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [18]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [19]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [20]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [21]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [20]   6   2   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [21]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [22]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [23]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [24]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [25]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [26]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [27]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [28]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #28   '+'	Ptr: 2    	Tape: [29]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [30]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #30   '>'	Ptr: 3    	Tape:   8  21  30 [6]   2   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:   8  21  30 [7]   2   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:   8  21  30 [8]   2   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:   8  21  30 [9]   2   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:  21  30   9 [2]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:  21  30   9 [3]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:   8  21  30 [9]   3   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [30]   9   3   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [21]  30   9   3	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [8]  21  30   9	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [7]  21  30   9	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [7]  21  30   9	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [7]  21  30   9	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [21]  30   9   3	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [22]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [23]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [24]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [25]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [26]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [27]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [28]  30   9   3	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [30]   9   3   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [31]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [32]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [33]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [34]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [35]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [36]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [37]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [38]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #28   '+'	Ptr: 2    	Tape: [39]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [40]   9   3   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #30   '>'	Ptr: 3    	Tape:   7  28  40 [9]   3   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:   7  28  40 [10]   3   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:   7  28  40 [11]   3   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:   7  28  40 [12]   3   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:  28  40  12 [3]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:  28  40  12 [4]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:   7  28  40 [12]   4   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [40]  12   4   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [28]  40  12   4	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [7]  28  40  12	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [6]  28  40  12	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [6]  28  40  12	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [6]  28  40  12	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [28]  40  12   4	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [29]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [30]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [31]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [32]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [33]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [34]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [35]  40  12   4	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [40]  12   4   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [41]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [42]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [43]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [44]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [45]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [46]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [47]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [48]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #28   '+'	Ptr: 2    	Tape: [49]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [50]  12   4   0	Output: 	Desc: Incrementa o valor na célula atual.
